Шум_Глобальный;Шум_Токена;Шум_Контекста;Очистка;Влияние_на_соседей;Комментарий
Низкий;Низкий;Низкий;Сохранять;Опираться;Штатное завершение диффузии — всё чисто
Низкий;Низкий;Средний;Сохранять;Опираться;Чистый якорь для умеренно зашумлённых соседей
Низкий;Низкий;Высокий;Сохранять;Максимальное доверие;Критический якорь: поздняя стадия но контекст грязный
Низкий;Средний;Низкий;Умеренно очищать;Умеренно учитывать;Запоздалый токен — соседи чистые, могут направить
Низкий;Средний;Средний;Умеренно очищать;Умеренно учитывать;Штатный средний токен на финале
Низкий;Средний;Высокий;Умеренно очищать;Опираться;Токен чище своего окружения — относительный якорь
Низкий;Высокий;Низкий;Агрессивно очищать;Игнорировать;Аномалия: грязный токен среди чистых на финале
Низкий;Высокий;Средний;Агрессивно очищать;Игнорировать;Грязный токен в конце диффузии — не доверять
Низкий;Высокий;Высокий;Агрессивно очищать;Игнорировать;Редкая грязная зона на финале — чистить без опоры на соседей
Средний;Низкий;Низкий;Сохранять;Опираться;Истинный якорь на средней стадии в чистом окружении
Средний;Низкий;Средний;Сохранять;Опираться;Якорь среди умеренного шума
Средний;Низкий;Высокий;Сохранять;Максимальное доверие;Истинный якорь в шумном контексте — главный ориентир соседей
Средний;Средний;Низкий;Умеренно очищать;Умеренно учитывать;Чистые соседи помогают уточнить направление
Средний;Средний;Средний;Умеренно очищать;Умеренно учитывать;Типичная средняя стадия — взаимная умеренная опора
Средний;Средний;Высокий;Умеренно очищать;Умеренно учитывать;Опереться на контекст нельзя — работаем автономно
Средний;Высокий;Низкий;Агрессивно очищать;Игнорировать;Грязный токен в чистом контексте — соседи должны его игнорировать
Средний;Высокий;Средний;Агрессивно очищать;Игнорировать;Шумный токен среди умеренного контекста
Средний;Высокий;Высокий;Агрессивно очищать;Игнорировать;Зашумлённая зона на средней стадии
Высокий;Низкий;Низкий;Сохранять;Опираться;Редко: оба чистые в начале — хороший старт
Высокий;Низкий;Средний;Сохранять;Опираться;Якорь на ранней стадии
Высокий;Низкий;Высокий;Сохранять;Максимальное доверие;Истинный якорь Phase 4: чистый токен в море шума на старте
Высокий;Средний;Низкий;Умеренно очищать;Умеренно учитывать;Чистые соседи направляют умеренный токен
Высокий;Средний;Средний;Умеренно очищать;Умеренно учитывать;Типичное начало с неоднородным шумом
Высокий;Средний;Высокий;Умеренно очищать;Умеренно учитывать;Начало диффузии: все умеренно зашумлены, нужна структура
Высокий;Высокий;Низкий;Агрессивно очищать;Игнорировать;Выброс: грязный токен в чистом начальном контексте
Высокий;Высокий;Средний;Умеренно очищать;Игнорировать;Ранняя стадия с преобладающим шумом токена
Высокий;Высокий;Высокий;Умеренно очищать;Игнорировать;Старт диффузии: нет полезной информации — нужен внешний промпт
